"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.100.161","192.168.100.76","TCP","58","61789  >  5050 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"2","0.000054","192.168.100.76","192.168.100.161","TCP","58","5050  >  61789 [SYN, ACK] Seq=0 Ack=1 Win=64620 Len=0 MSS=1460"
"3","0.004765","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"4","0.005297","192.168.100.76","192.168.100.161","TCP","67","5050  >  61789 [PSH, ACK] Seq=1 Ack=1 Win=64620 Len=13"
"5","0.103059","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=1 Ack=14 Win=5731 Len=0"
"6","1.051595","192.168.100.161","192.168.100.76","TCP","81","61789  >  5050 [PSH, ACK] Seq=1 Ack=14 Win=5731 Len=27"
"7","1.106307","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=14 Ack=28 Win=64593 Len=0"
"8","1.152532","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=28 Ack=14 Win=5731 Len=2"
"9","1.200086","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=14 Ack=30 Win=64591 Len=0"
"10","107.697584","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=14 Ack=30 Win=64591 Len=14"
"11","108.011090","192.168.100.76","192.168.100.161","TCP","68","[TCP Retransmission] 5050  >  61789 [PSH, ACK] Seq=14 Ack=30 Win=64591 Len=14"
"12","108.112915","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=30 Ack=28 Win=5717 Len=0"
"13","109.117088","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=30 Ack=28 Win=5717 Len=25"
"14","109.169237","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=28 Ack=55 Win=64566 Len=0"
"15","109.531407","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=55 Ack=28 Win=5717 Len=2"
"16","109.533822","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=28 Ack=57 Win=64564 Len=14"
"17","109.838022","192.168.100.76","192.168.100.161","TCP","68","[TCP Retransmission] 5050  >  61789 [PSH, ACK] Seq=28 Ack=57 Win=64564 Len=14"
"18","109.868763","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=57 Ack=42 Win=5703 Len=0"
"19","109.957418","192.168.100.161","192.168.100.76","TCP","54","[TCP Dup ACK 18#1] 61789  >  5050 [ACK] Seq=57 Ack=42 Win=5703 Len=0"
"20","112.673025","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=57 Ack=42 Win=5703 Len=25"
"21","112.720177","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=42 Ack=82 Win=64539 Len=0"
"22","112.903470","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=82 Ack=42 Win=5703 Len=2"
"23","112.905213","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=42 Ack=84 Win=64537 Len=14"
"24","113.143633","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=84 Ack=56 Win=5689 Len=0"
"25","114.025882","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=84 Ack=56 Win=5689 Len=25"
"26","114.073703","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=56 Ack=109 Win=64512 Len=0"
"27","114.255850","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=109 Ack=56 Win=5689 Len=2"
"28","114.257179","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=56 Ack=111 Win=64510 Len=15"
"29","114.597999","192.168.100.76","192.168.100.161","TCP","69","[TCP Retransmission] 5050  >  61789 [PSH, ACK] Seq=56 Ack=111 Win=64510 Len=15"
"30","114.763306","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=111 Ack=71 Win=5674 Len=0"
"31","114.773494","192.168.100.161","192.168.100.76","TCP","54","[TCP Dup ACK 30#1] 61789  >  5050 [ACK] Seq=111 Ack=71 Win=5674 Len=0"
"32","115.385330","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=111 Ack=71 Win=5674 Len=26"
"33","115.437511","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=71 Ack=137 Win=64484 Len=0"
"34","115.589954","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=137 Ack=71 Win=5674 Len=2"
"35","115.590949","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=71 Ack=139 Win=64482 Len=15"
"36","115.613131","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=139 Ack=86 Win=5659 Len=0"
"37","116.606071","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=139 Ack=86 Win=5659 Len=26"
"38","116.649826","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=86 Ack=165 Win=64456 Len=0"
"39","116.815442","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=165 Ack=86 Win=5659 Len=2"
"40","116.818106","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=86 Ack=167 Win=64454 Len=15"
"41","116.862604","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=167 Ack=101 Win=5644 Len=0"
"42","117.823484","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=167 Ack=101 Win=5644 Len=26"
"43","117.871731","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=101 Ack=193 Win=64428 Len=0"
"44","117.875919","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=193 Ack=101 Win=5644 Len=2"
"45","117.877131","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=101 Ack=195 Win=64426 Len=14"
"46","118.115160","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=195 Ack=115 Win=5630 Len=0"
"47","118.883028","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=195 Ack=115 Win=5630 Len=25"
"48","118.924367","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=115 Ack=220 Win=64401 Len=0"
"49","118.965351","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=220 Ack=115 Win=5630 Len=2"
"50","118.965472","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=115 Ack=222 Win=64399 Len=15"
"51","119.115106","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=222 Ack=130 Win=5615 Len=0"
"52","119.973420","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=222 Ack=130 Win=5615 Len=26"
"53","120.026179","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=130 Ack=248 Win=64373 Len=0"
"54","120.101396","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=248 Ack=130 Win=5615 Len=2"
"55","120.101645","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=130 Ack=250 Win=64371 Len=15"
"56","120.113794","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=250 Ack=145 Win=5600 Len=0"
"57","121.171734","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=250 Ack=145 Win=5600 Len=26"
"58","121.218696","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=145 Ack=276 Win=64345 Len=0"
"59","121.494840","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=276 Ack=145 Win=5600 Len=2"
"60","121.496507","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=145 Ack=278 Win=64343 Len=15"
"61","121.865406","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=278 Ack=160 Win=5585 Len=0"
"62","122.918303","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=278 Ack=160 Win=5585 Len=26"
"63","122.971311","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=160 Ack=304 Win=64317 Len=0"
"64","123.094517","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=304 Ack=160 Win=5585 Len=2"
"65","123.094675","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=160 Ack=306 Win=64315 Len=15"
"66","123.115222","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=306 Ack=175 Win=5570 Len=0"
"67","125.113910","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=306 Ack=175 Win=5570 Len=26"
"68","125.156056","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=175 Ack=332 Win=64289 Len=0"
"69","125.162333","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=332 Ack=175 Win=5570 Len=2"
"70","125.162596","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=175 Ack=334 Win=64287 Len=14"
"71","125.364103","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=334 Ack=189 Win=5556 Len=0"
"72","126.174201","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=334 Ack=189 Win=5556 Len=25"
"73","126.227202","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=189 Ack=359 Win=64262 Len=0"
"74","126.286315","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=359 Ack=189 Win=5556 Len=2"
"75","126.288189","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=189 Ack=361 Win=64260 Len=15"
"76","126.366378","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=361 Ack=204 Win=5541 Len=0"
"77","127.292560","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=361 Ack=204 Win=5541 Len=26"
"78","127.338980","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=204 Ack=387 Win=64234 Len=0"
"79","127.367223","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=387 Ack=204 Win=5541 Len=2"
"80","127.367413","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=204 Ack=389 Win=64232 Len=14"
"81","127.618117","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=389 Ack=218 Win=5527 Len=0"
"82","128.425198","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=389 Ack=218 Win=5527 Len=25"
"83","128.472218","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=218 Ack=414 Win=64207 Len=0"
"84","128.595839","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=414 Ack=218 Win=5527 Len=2"
"85","128.596073","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=218 Ack=416 Win=64205 Len=15"
"86","128.616712","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=416 Ack=233 Win=5512 Len=0"
"87","129.604544","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=416 Ack=233 Win=5512 Len=26"
"88","129.649139","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=233 Ack=442 Win=64179 Len=0"
"89","129.993667","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=442 Ack=233 Win=5512 Len=2"
"90","129.994650","192.168.100.76","192.168.100.161","TCP","66","5050  >  61789 [PSH, ACK] Seq=233 Ack=444 Win=64177 Len=12"
"91","130.444780","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=444 Ack=245 Win=5500 Len=0"
"92","131.295210","192.168.100.161","192.168.100.76","TCP","55","61789  >  5050 [PSH, ACK] Seq=444 Ack=245 Win=5500 Len=1"
"93","131.339776","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=245 Ack=445 Win=64176 Len=0"
"94","131.738489","192.168.100.161","192.168.100.76","TCP","59","61789  >  5050 [PSH, ACK] Seq=445 Ack=245 Win=5500 Len=5"
"95","131.739685","192.168.100.76","192.168.100.161","TCP","66","5050  >  61789 [PSH, ACK] Seq=245 Ack=450 Win=64171 Len=12"
"96","132.162650","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=450 Ack=257 Win=5488 Len=0"
"97","133.189471","192.168.100.161","192.168.100.76","TCP","55","61789  >  5050 [PSH, ACK] Seq=450 Ack=257 Win=5488 Len=1"
"98","133.232233","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=257 Ack=451 Win=64170 Len=0"
"99","133.538574","192.168.100.161","192.168.100.76","TCP","59","61789  >  5050 [PSH, ACK] Seq=451 Ack=257 Win=5488 Len=5"
"100","133.538709","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=257 Ack=456 Win=64165 Len=14"
"101","133.943091","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=456 Ack=271 Win=5474 Len=0"
"102","134.863384","192.168.100.161","192.168.100.76","TCP","79","61789  >  5050 [PSH, ACK] Seq=456 Ack=271 Win=5474 Len=25"
"103","134.905841","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=271 Ack=481 Win=64140 Len=0"
"104","135.048196","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=481 Ack=271 Win=5474 Len=2"
"105","135.048321","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=271 Ack=483 Win=64138 Len=15"
"106","135.121367","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=483 Ack=286 Win=5459 Len=0"
"107","136.056195","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=483 Ack=286 Win=5459 Len=26"
"108","136.099959","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=286 Ack=509 Win=64112 Len=0"
"109","136.287381","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=509 Ack=286 Win=5459 Len=2"
"110","136.287545","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=286 Ack=511 Win=64110 Len=15"
"111","136.371890","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=511 Ack=301 Win=5444 Len=0"
